number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
1 room;40 m_ ; Studio;;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 897 / m_ / year
3 rooms;90 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,990.-;CHF 799 / m_ / year
2.5 rooms;75 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,690.-;CHF 750 / m_ / year
3 rooms;75 m_ ; Apartment;;8032 Zürich;Authentic photos provided;Virtual tours available;Verified listings for trust;CHF 4,790.-;CHF 766 / m_ / year
1 room;30 m_ ; Studio;;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,790.-;CHF 1,116 / m_ / year
1 room;16 m_ ; Apartment;;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 1,890.-;CHF 1,418 / m_ / year
2 rooms ;55 m_ ; Apartment;;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,830.-;CHF 1,054 / m_ / year
1 room;25 m_ ; Studio;;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 1,435 / m_ / year
4.5 rooms ;120 m_ ; Apartment;;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 6,990.-;CHF 699 / m_ / year
1 room;37 m_ ; Studio;;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,990.-;CHF 970 / m_ / year
1.5 rooms ;51 m_ ; Apartment;;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,590.-;CHF 1,080 / m_ / year
2 rooms ;54 m_ ; Apartment;;8003 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 4,590.-;CHF 1,020 / m_ / year
3 rooms;85 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,590.-;CHF 789 / m_ / year
2.5 rooms;80 m_ ; Apartment;;8001 Zürich;Authentic photos provided;Virtual tours available;Verified listings for trust;CHF 7,190.-;CHF 1,079 / m_ / year
3 rooms;83 m_ ; Apartment;;8002 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 5,090.-;CHF 736 / m_ / year
2.5 rooms;70 m_ ; Apartment;;8008 Zürich;Authentic local photos;Virtual tours available;Secure online booking;CHF 4,590.-;CHF 787 / m_ / year
1.5 rooms ;50 m_ ; Apartment;;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 3,990.-;CHF 958 / m_ / year
2 rooms ;53 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,650.-;CHF 1,053 / m_ / year
2 rooms ;55 m_ ; Apartment;;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,150.-;CHF 905 / m_ / year
3.5 rooms ;95 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,390.-;CHF 681 / m_ / year
1 room;35 m_ ; Apartment;;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,890.-;CHF 991 / m_ / year
2.5 rooms;71 m_ ; Apartment;;8003 Zürich;Authentic photos provided;Virtual tours available;Safe online booking;CHF 4,890.-;CHF 826 / m_ / year
1 room;25 m_ ; Studio;;8001 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,490.-;CHF 1,195 / m_ / year
1 room ; 28 m_ ; Apartment;Sumatrastrasse; 8006 Zürich;Modern kitchen with balcony;Bright living area;Close to public transport;CHF 3,064.-;CHF 1,313 / m_ / year
2 rooms ;59 m_ ; Apartment;;8032 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,650.-;CHF 946 / m_ / year
2.5 roms;75 m_ ; Apartment;;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,620.-;CHF 739 / m_ / year
2.5 rooms;64 m_ ; Apartment;;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,290.-;CHF 1,179 / m_ / year
1 room ; 42 m_ ; Apartment;Forchstrasse; 8032 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 3,090.-;CHF 883 / m_ / year
2.5 rooms;80 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,640.-;CHF 1,146 / m_ / year
2.5 rooms;60 m_ ; Apartment;;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,180.-;CHF 836 / m_ / year
1.5 rooms ;37 m_ ; Apartment;;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,480.-;CHF 1,453 / m_ / year
1 room;22 m_ ; Studio;;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,200.-;CHF 1,745 / m_ / year
2.5 rooms;70 m_ ; Apartment;;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,690.-;CHF 804 / m_ / year
2.5 rooms;69 m_ ; Apartment;;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,740.-;CHF 824 / m_ / year
1.5 rooms ;46 m_ ; Apartment;;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,050.-;CHF 1,578 / m_ / year
4.5 rooms ;106 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,930.-;CHF 671 / m_ / year
3 rooms;78 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,690.-;CHF 875 / m_ / year
3 rooms;78 m_ ; Apartment;;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,690.-;CHF 875 / m_ / year
3.5 rooms ;90 m_ ; Apartment;;8037 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,860.-;CHF 515 / m_ / year
3.5 rooms ;90 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Verified listings only;CHF 5,790.-;CHF 772 / m_ / year
2.5 rooms;59 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,190.-;CHF 852 / m_ / year
3 rooms;78 m_ ; Apartment;;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 4,390.-;CHF 675 / m_ / year
1.5 rooms ;55 m_ ; Apartment;;8008 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,190.-;CHF 696 / m_ / year
1 room ; 29 m_ ; Apartment;Talstrasse 20; 8001 Zürich;Central location in Zurich;Well-equipped kitchen area;Cozy shared waiting room;CHF 850.-;CHF 352 / m_ / year
4 rooms ; 120 m_ ; Apartment;Ottenbergstrasse; 8049 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 7,440.-;CHF 744 / m_ / year
2 rooms ; 85 m_ ; Apartment;Höschgasse; 8008 Zürich;Stunning city views;Modern kitchen design;Prime location in Zürich;CHF 6,390.-;CHF 902 / m_ / year
1 room ; 75 m_ ; Apartment;Mainaustrasse; 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 5,490.-;CHF 878 / m_ / year
1 room ; 56 m_ ; Apartment;Seefeldstrasse; 8008 Zürich;Stunning city views;Modern kitchen amenities;Close to public transport;CHF 4,799.-;CHF 1,028 / m_ / year
2.5 rooms;66 m_ ; Apartment;;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,980.-;CHF 905 / m_ / year
3 rooms ;85 m_ ; Apartment;;8055 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 7,860.-;CHF 1,110 / m_ / year
4.5 rooms ;128 m_ ; Apartment;;8044 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 9,000.-;CHF 844 / m_ / year
1 room;35 m_ ; Studio;;8004 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,910.-;CHF 1,341 / m_ / year
1 room;28 m_ ; Studio;;8003 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,540.-;CHF 1,517 / m_ / year
4 rooms;92 m_ ; Apartment;;8045 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,980.-;CHF 910 / m_ / year
;30 m_ ; Apartment;Mürtschenstrasse; 8048 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 2,700.-;CHF 1,080 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Blauäcker 10; 8051 Zürich;Spacious balcony for relaxation;1 min walk to tram stops;Close to shops and amenities;CHF 1,820.-;CHF 397 / m_ / year
1 room ; 25 m_ ; Apartment;Steinstrasse; 8003 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 1,995.-;CHF 958 / m_ / year
2 rooms ;48 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Verified listings for trust;CHF 4,280.-;CHF 1,070 / m_ / year
2 rooms ;40 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,040.-;CHF 912 / m_ / year
2.5 rooms;55 m_ ; Apartment;;8003 Zürich;Authentic photos provided;Virtual tours available;Verified listings only;CHF 3,910.-;CHF 853 / m_ / year
3 rooms ;70 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,730.-;CHF 811 / m_ / year
2.5 rooms;70 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,930.-;CHF 845 / m_ / year
1 room ;24 m_ ; Studio;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,450.-;CHF 1,725 / m_ / year
1 room ;33 m_ ; Studio;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 2,930.-;CHF 1,065 / m_ / year
2 rooms ;69 m_ ; Apartment;;8050 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,730.-;CHF 649 / m_ / year
1 room ;30 m_ ; Apartment;;8005 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,400.-;CHF 1,760 / m_ / year
2 rooms ;55 m_ ; Apartment;;8008 Zürich;Verified listings online;Real photos and videos;Safe rental decisions;CHF 6,990.-;CHF 1,525 / m_ / year
1 room ; 50 m_ ; Apartment;Seebacherstrasse; 8052 Zürich;Stunning lake views;Modern kitchen amenities;Spacious balcony retreat;CHF 2,470.-;CHF 593 / m_ / year
1.5 rooms ; 35 m_ ; Apartment;Waidstrasse 38; 8037 Zürich;Quiet courtyard view;Private green terrace;Fully furnished & equipped;CHF 1,400.-;CHF 480 / m_ / year
3 rooms ; 90 m_ ; Apartment;Münsterhof 6; 8001 Zürich;Spacious loggia for relaxation;High-end Miele kitchen;Quiet location near landmarks;CHF 2,850.-;CHF 380 / m_ / year
2 rooms ;72 m_ ; Apartment;;8002 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 5,300.-;CHF 883 / m_ / year
1.5 rooms ;32 m_ ; Apartment;;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,800.-;CHF 1,425 / m_ / year
2 rooms ;59 m_ ; Apartment;;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,850.-;CHF 783 / m_ / year
2 rooms ;54 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,240.-;CHF 942 / m_ / year
2.5 rooms ;65 m_ ; Apartment;;8006 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,890.-;CHF 903 / m_ / year
3.5 rooms ;102 m_ ; Apartment;;8005 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 6,910.-;CHF 813 / m_ / year
2.5 rooms ;79 m_ ; Apartment;;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 3,630.-;CHF 551 / m_ / year
2.5 rooms ;74 m_ ; Apartment;;8048 Zürich;Authentic photos provided;Virtual tours available;Secure online booking;CHF 4,720.-;CHF 765 / m_ / year
3 rooms ; 100 m_ ; Apartment;Luegete; 8053 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 6,500.-;CHF 780 / m_ / year
2 rooms ; 50 m_ ; Furnished apartment;Baurstrasse 29; 8008 Zürich;Stunning 70m_ rooftop terrace;Bright with floor-to-ceiling windows;Modern design with high-end finishes;CHF 6,790.-;CHF 1,630 / m_ / year
2 rooms ; 60 m_ ; Furnished apartment;Baurstrasse 29; 8008 Zürich;70 m_ rooftop terrace;Elegant EAST style design;Heart of Seefeld location;CHF 7,390.-;CHF 1,478 / m_ / year
2 rooms ; 78 m_ ; Apartment;Helenastrasse; 8008 Zürich;Sunny balcony retreat;Modern kitchen design;Prime city location;CHF 6,500.-;CHF 1,000 / m_ / year
2.5 rooms ; 55 m_ ; Furnished apartment;Hönggerstrasse 40; 8037 Zürich;Spacious balcony for relaxation;Modern kitchen with high-end appliances;All-inclusive services provided;CHF 3,990.-;CHF 871 / m_ / year
3.5 rooms ; 80 m_ ; Apartment;;8003 Zürich;Fully furnished for comfort;Fast Wi-Fi and Smart-TV;Central location with parking;CHF 4,613.-;CHF 692 / m_ / year
2 rooms ; 80 m_ ; Apartment;Austrasse; 8045 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 3,100.-;CHF 465 / m_ / year
1 room ; 40 m_ ; Apartment;Affolternstrasse; 8050 Zürich;Spacious balcony with views;Modern kitchen with island;Bright living area with light;CHF 2,600.-;CHF 780 / m_ / year
1 room ; 87 m_ ; Apartment;Badenerstrasse; 8004 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 5,560.-;CHF 767 / m_ / year
;40 m_ ; Apartment;Badenerstrasse; 8004 Zürich;Modern kitchen amenities;Sunny balcony retreat;Prime city location;CHF 3,590.-;CHF 1,077 / m_ / year
;45 m_ ; Apartment;Badenerstrasse; 8004 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location in Zurich;CHF 3,590.-;CHF 957 / m_ / year
1 room ; 60 m_ ; Apartment;Badenerstrasse; 8004 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 4,150.-;CHF 830 / m_ / year
2 rooms ; 75 m_ ; Apartment;Zollstrasse; 8005 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 4,990.-;CHF 798 / m_ / year
5 rooms ;; Apartment;Carmenstrasse 35; 8032 Zürich;Stunning lake view terrace;High-end Herzog kitchen;Spacious balconies for relaxation;CHF 6,800.-;—
3 rooms ;75 m_ ; Apartment;;8055 Zürich;Authentic photos & videos;Secure online viewing;Trusted rental process;CHF 4,290.-;CHF 686 / m_ / year
2 rooms ;55 m_ ; Apartment;;8003 Zürich;Authentic photos & videos;Verified listings for trust;Easy online viewing process;CHF 4,000.-;CHF 873 / m_ / year
3 rooms ;84 m_ ; Apartment;;8002 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 7,600.-;CHF 1,086 / m_ / year
1 room ;18 m_ ; Studio;;8003 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 2,570.-;CHF 1,713 / m_ / year
1 room ;18 m_ ; Studio;;8003 Zürich;Authentic photos & videos;Secure online booking;Trusted property verification;CHF 2,530.-;CHF 1,687 / m_ / year
3.5 rooms ;76 m_ ; Apartment;;8002 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 5,240.-;CHF 827 / m_ / year
3 rooms ;66 m_ ; Apartment;;8045 Zürich;Authentic photos & videos;Verified listings for trust;Easy online viewing process;CHF 3,780.-;CHF 687 / m_ / year
2.5 rooms ;43 m_ ; Apartment;;8038 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 2,670.-;CHF 745 / m_ / year
3 rooms ;63 m_ ; Apartment;;8003 Zürich;Authentic photos provided;Online viewing available;Verified listings only;CHF 3,390.-;CHF 646 / m_ / year
4 rooms ;103 m_ ; Apartment;;8050 Zürich;Authentic photos provided;Online viewing available;Secure rental process;CHF 2,800.-;CHF 326 / m_ / year
1 room ;18 m_ ; Studio;;8003 Zürich;Authentic photos & videos;Verified listings for trust;Easy online booking process;CHF 2,570.-;CHF 1,713 / m_ / year
1 room ;18 m_ ; Studio;;8003 Zürich;Authentic photos & videos;Secure online booking;Verified property listings;CHF 2,780.-;CHF 1,853 / m_ / year
3.5 rooms ; 114 m_ ; Furnished apartment;;8041 Zürich;Central, desirable location;Sunny balcony with a view;Fully furnished & modern;CHF 4,130.-;CHF 435 / m_ / year
2.5 rooms ; 65 m_ ; Apartment;Augustinergasse 15; 8001 Zürich;Modern kitchen & Miele appliances;Central location near Bahnhofstrasse;Tram stop at doorstep;CHF 3,530.-;CHF 652 / m_ / year
3.5 rooms ; 95 m_ ; Apartment;;8032 Zürich;Central location, ideal;Timeless elegance;Garage and elevator;CHF 3,940.-;CHF 498 / m_ / year
2.5 rooms ; 85 m_ ; Apartment;Anemonenstrasse 40; 8047 Zürich;Spacious living area 41.3m_;Modern kitchen with dishwasher;Quiet park-like surroundings;CHF 2,623.-;CHF 370 / m_ / year
2 rooms ;; Apartment;Bremgartnerstrasse 35; 8003 Zürich;New kitchen & bathroom;Spacious rooms with laminate;Near public transport;CHF 2,390.-;—
3.5 rooms ; 89 m_ ; Apartment;Schöntalstrasse 20; 8004 Zürich;Central location;Modern amenities;Bright and airy;On request;—
1.5 rooms ; 48 m_ ; Penthouse;Haldenstrasse 169; 8055 Zürich;Parquet floors throughout;Modern kitchen & bathroom;Near public transport & shops;CHF 2,310.-;CHF 578 / m_ / year
3.5 rooms ; 89 m_ ; Penthouse;Haldenstrasse 167; 8055 Zürich;Modern bathroom;Parquet floors;Open kitchen;CHF 4,230.-;CHF 568 / m_ / year
4 rooms ; 92 m_ ; Apartment;Calandastrasse 9; 8048 Zürich;Elegant interior;Modern kitchen;Easy access to transport;CHF 2,790.-;CHF 364 / m_ / year
3.5 rooms ; 76 m_ ; Apartment;Forchstrasse 347; 8008 Zürich;Bright rooms;Parquet/Laminate floors;Pleasant location;CHF 2,790.-;CHF 441 / m_ / year
1.5 rooms ;; Furnished apartment;Schwendenweg 6; 8003 Zürich;Quiet location near tram;Modern kitchen & bathroom;Fully renovated in 2023;CHF 2,000.-;—
3.5 rooms ; 115 m_ ; Apartment;;8049 Zürich;Quiet natural surroundings;Close to public transport;Includes garage and utilities;CHF 3,326.-;CHF 347 / m_ / year
2.5 rooms ; 83 m_ ; Apartment;Pfingstweidstrasse 106c; 8005 Zürich;Open, elegant kitchen;Bathroom with tub and window;Garden terrace & rooftop pool;CHF 3,670.-;CHF 531 / m_ / year
3.5 rooms ; 83 m_ ; Apartment;Tramstrasse 3; 8050 Zürich;Balcony for sunny moments;Spacious, well-equipped kitchen;Easy access to transport;CHF 2,620.-;CHF 379 / m_ / year
4 rooms ; 102 m_ ; Apartment;Hornbachstrasse 56; 8008 Zürich;Spacious living and dining area;Modern kitchen with dishwasher;Pets allowed;CHF 3,800.-;CHF 447 / m_ / year
5.5 rooms ; 121 m_ ; Duplex;Universitätstrasse 33; 8006 Zürich;Modern kitchen with island;New wood parquet flooring;Balcony/Veranda;CHF 5,830.-;CHF 578 / m_ / year
2 rooms ; 57 m_ ; Apartment;Strassburgstrasse 17; 8004 Zürich;Superb central location;Modern kitchen & bathroom;Long balcony, elevator;CHF 2,590.-;CHF 545 / m_ / year
3 rooms ; 68 m_ ; Apartment;Waldstrasse 15; 8046 Zürich;Quiet, green location;Built-in wardrobe in the entrance;Bathroom with window;CHF 1,772.-;CHF 313 / m_ / year
1.5 rooms ; 49 m_ ; Apartment;Haldenstrasse 169; 8055 Zürich;Modern and central location;High-quality finishes;Convenient transport links;CHF 2,470.-;CHF 605 / m_ / year
2.5 rooms ; 80 m_ ; Apartment;;8048 Zürich;Great public transport links;Sunny balcony;All utilities included;CHF 2,050.-;CHF 308 / m_ / year
3.5 rooms ; 105 m_ ; Apartment;;8005 Zürich;Charming balcony;Fully equipped kitchen;Near highways;CHF 3,960.-;CHF 453 / m_ / year
3 rooms ; 42 m_ ; Apartment;Universitätstrasse 33; 8006 Zürich;Newly renovated;Private entrance;Central location;CHF 2,380.-;CHF 680 / m_ / year
4.5 rooms ; 103 m_ ; Duplex;Universitätstrasse 33; 8006 Zürich;Island kitchen;New wood parquet;Spacious balcony;CHF 4,795.-;CHF 559 / m_ / year
3 rooms ; 60 m_ ; Apartment;Universitätstrasse 33; 8006 Zürich;19m_ terrace;Newly renovated;Central location;CHF 3,520.-;CHF 704 / m_ / year
1.5 rooms ; 21 m_ ; Apartment;Dienerstrasse 8; 8004 Zürich;Modern kitchen with DW;High-quality parquet floor;Spacious built-in wardrobe;CHF 1,840.-;CHF 1,051 / m_ / year
1 room ;; Apartment;Hönggerstrasse; 8037 Zürich;Sunny balcony retreat;Modern kitchen design;Prime city location;CHF 1,399.-;—
3.5 rooms ; 72 m_ ; Loft;;8045 Zürich;High ceilings & natural light;Cozy balcony for relaxation;Private 45m_ rooftop terrace;CHF 3,950.-;CHF 658 / m_ / year
2.5 rooms ; 72 m_ ; Apartment;Fellenbergstrasse 289; 8047 Zürich;Parquet flooring throughout;Balcony included;Cellar compartment;CHF 2,088.-;CHF 348 / m_ / year
2.5 rooms ; 71 m_ ; Apartment;Lindenstrasse 21; 8008 Zürich;Minergie standard finish;Two stunning rooftop terraces;Stylish Pandomo flooring;CHF 3,820.-;CHF 646 / m_ / year
2.5 rooms ; 61 m_ ; Penthouse;;8050 Zürich;Top floor location;Fantastic roof terrace;Modern, high-quality finishes;CHF 3,275.-;CHF 644 / m_ / year
3.5 rooms ; 75 m_ ; Apartment;Feldblumenweg 33; 8048 Zürich;Quiet residential area;Parquet floors;Balcony mezzanine;CHF 2,368.-;CHF 379 / m_ / year
2.5 rooms ; 47 m_ ; Apartment;;8041 Zürich;Newly furnished space;Quiet green surroundings;Close to public transport;CHF 2,375.-;CHF 606 / m_ / year
4.5 rooms ; 116 m_ ; Apartment;Hagenholzstrasse 82; 8050 Zürich;Bright, spacious rooms;Modern kitchen with dishwasher;Close to public transport;CHF 3,300.-;CHF 341 / m_ / year
2.5 rooms ; 45 m_ ; Furnished apartment;;8006 Zürich;Modern kitchen design;Quiet courtyard bedroom;Includes utilities & internet;CHF 2,484.-;CHF 662 / m_ / year
4.5 rooms ; 107 m_ ; Apartment;;8055 Zürich;Stunning city panorama;Two spacious balconies;Open layout design;CHF 4,800.-;CHF 538 / m_ / year
4.5 rooms ; 113 m_ ; Apartment;Tramstrasse 71; 8050 Zürich;Modern kitchen with storage;Bright dining area;Relaxing balcony space;CHF 3,750.-;CHF 398 / m_ / year
3 rooms ; 128 m_ ; Loft;;8002 Zürich;Urban charm and modern design;Large windows overlooking the Sihl;Private courtyard (32 m_);CHF 5,850.-;CHF 548 / m_ / year
3 rooms ; 72 m_ ; Penthouse;;8002 Zürich;Two large terraces;Quiet, central location;Close to shops;CHF 3,900.-;CHF 650 / m_ / year
3.5 rooms ; 100 m_ ; Furnished apartment;;8057 Zürich;Beautiful old building;Shared garden access;All utilities included;CHF 4,374.-;CHF 525 / m_ / year
4.5 rooms ; 109 m_ ; Apartment;Schaffhauserstrasse 11; 8006 Zürich;Spacious living area;Modern kitchen amenities;Terrace for relaxation;CHF 3,470.-;CHF 382 / m_ / year
4.5 rooms ; 122 m_ ; Apartment;Flüelastrasse 31; 8047 Zürich;Spacious oak parquet floors;Large loggia for relaxation;Quiet park-like surroundings;CHF 3,220.-;CHF 317 / m_ / year
3.5 rooms ; 103 m_ ; Apartment;Allmendstrasse 158; 8041 Zürich;Elegant oak parquet floors;Open kitchen with appliances;Balcony and loggia space;CHF 3,400.-;CHF 396 / m_ / year
1 room ; 28 m_ ; Apartment;Grubenackerstrasse 71; 8052 Zürich;Spacious open kitchen;Large outdoor area;Modern bathroom design;CHF 1,880.-;CHF 806 / m_ / year
3 rooms ; 64 m_ ; Apartment;Im Brächli 25; 8053 Zürich;Cozy balcony for relaxation;Quiet green neighborhood;Modern kitchen with dishwasher;CHF 1,929.-;CHF 362 / m_ / year
8.5 rooms ; 250 m_ ; Duplex;;8006 Zürich;Stunning city views;Sunny balcony & terrace;Modern open kitchen;CHF 8,925.-;CHF 428 / m_ / year
3.5 rooms ; 94 m_ ; Apartment;;8041 Zürich;Spacious open kitchen;Quiet central location;Minergie heating system;CHF 3,400.-;CHF 434 / m_ / year
3.5 rooms ; 90 m_ ; Apartment;;8047 Zürich;80m_ sunny terrace;Lift access to 4th floor;Pet-friendly for cats;CHF 1,919.-;CHF 256 / m_ / year
3.5 rooms ; 120 m_ ; Duplex;Buckhauserstrasse 45; 8048 Zürich;Elegant oak parquet floors;Spacious loggia for relaxation;Minergie certified for comfort;CHF 4,300.-;CHF 430 / m_ / year
3.5 rooms ; 75 m_ ; Furnished apartment;;8005 Zürich;Spacious living kitchen;Two balconies & terrace;Ideal for families with kids;CHF 5,880.-;CHF 941 / m_ / year
1 room ; 22 m_ ; Apartment;;8049 Zürich;Pet-friendly living;Modern kitchen amenities;Excellent transport links;CHF 1,490.-;CHF 813 / m_ / year
3.5 rooms ; 97 m_ ; Apartment;Buckhauserstrasse 45; 8048 Zürich;Elegant oak parquet floors;Spacious loggia for relaxation;Minergie certified for comfort;CHF 3,617.-;CHF 447 / m_ / year
2.5 rooms ; 48 m_ ; Apartment;Anemonenstrasse 42; 8047 Zürich;Stylish parquet flooring;Open modern kitchen;Quiet park-like setting;CHF 2,390.-;CHF 598 / m_ / year
1.5 rooms ; 65 m_ ; Apartment;;8048 Zürich;Central location with transport;Spacious terrace for relaxation;Includes utilities and internet;CHF 2,813.-;CHF 519 / m_ / year
2.5 rooms ; 42 m_ ; Apartment;;8038 Zürich;Sunny balcony with views;Quiet neighborhood charm;Close to public transport;CHF 2,750.-;CHF 786 / m_ / year
4.5 rooms ; 102 m_ ; Duplex;;8044 Zürich;Spacious living area with fireplace;Large garden with winter garden;High-quality renovation throughout;CHF 3,400.-;CHF 400 / m_ / year
2.5 rooms ; 54 m_ ; Apartment;Müllerstrasse 57; 8004 Zürich;Parisian Chic furnishings;Fully furnished & equipped;Co-working lounges included;CHF 3,980.-;CHF 884 / m_ / year
3.5 rooms ; 69 m_ ; Apartment;Franklinstrasse 20; 8050 Zürich;Modern kitchen with ceramic;Spacious bathroom with window;Parkett flooring throughout;CHF 2,492.-;CHF 433 / m_ / year
3.5 rooms ; 89 m_ ; Apartment;Bellariarain 8; 8038 Zürich;Close to Lake Zurich;Spacious balcony retreat;Modern bathroom amenities;CHF 3,770.-;CHF 508 / m_ / year
3.5 rooms ; 83 m_ ; Apartment;Felsenrainstrasse 79; 8052 Zürich;Bright extension with bay window;Beech parquet flooring;Modern kitchen with dishwasher;CHF 2,446.-;CHF 354 / m_ / year
3.5 rooms ; 92 m_ ; Apartment;Tuchmacherstrasse 36; 8041 Zürich;Elegant oak parquet floors;Spacious loggia for relaxation;Direct S-Bahn access nearby;CHF 3,058.-;CHF 399 / m_ / year
2.5 rooms ; 63 m_ ; Apartment;Karstlernstrasse 12; 8048 Zürich;Bright and spacious rooms;Excellent public transport;Quiet green neighborhood;CHF 2,000.-;CHF 381 / m_ / year
2.5 rooms ; 69 m_ ; Apartment;Magnusstrasse 4; 8004 Zürich;Central location with amenities;Easy-care ceramic flooring;Practical kitchen with window;CHF 2,720.-;CHF 473 / m_ / year
3.5 rooms ; 80 m_ ; Apartment;;8004 Zürich;Stunning city views;Shared garden access;Modern design features;CHF 2,990.-;CHF 449 / m_ / year
3 rooms ; 91 m_ ; Apartment;Baslerstrasse 77; 8048 Zürich;Stunning city views;Smart home technology;Natural stone flooring;CHF 4,250.-;CHF 560 / m_ / year
